#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
42003,PROG.PREVENCION DROGAS. FONDO BENS DECOMISADOS,0,0,0,0
42010,PARTICIPACION TRIBUTOS.FONDO COMPLEMENTARIO DE FINANCIACIÓN.,16187850,0,16187850,14131593.6
42021,COMPENSACIÓN IAE,0,0,0,2393124.84
42090,TRANSFERENCIAS CORRENTES DA ADMINISTRACION XERAL DO ESTADO,100000,87600.36,187600.36,191345.79
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,550000,0,550000,554980.73
42103,SUBVENCIONS CORRENTES ESTADO.ORGANISMOS AUTONOMOS ADMINIS,0,0,0,15656.2
45000,PARTICIPACION TRIBUTOS CCAA.FONDO GALEGO COOPERACION LOCAL,3539671.51,0,3539671.51,3027555
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS. ESTATUTO CAPITALIDADE,2703000,0,2703000,2703000
45006,TRANSFERENCIAS CORRENTES.XUNTA DE GALICIA.EDUCACION.,80000,373486.05,453486.05,410814.59
45007,TRANSFERENCIAS CORRENTES XUNTA DE GALICIA,0,211879.49,211879.49,0
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,770000,0,770000,537902.73
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,580000,0,580000,703791.7
45022,TRANSFERENCIAS CCAA.UMAD PREVENCION,45000,0,45000,0
45023,TRANSFERENCIAS DA CCAA MATERIA SOCIAL.CONVENIO UMAD,28000,0,28000,0
45024,TRANSFERENCIAS DA CCAA EN MATERIA SOCIAL. EMIGRACION,40000,0,40000,63853.32
45050,TRANSFERENCIAS CORRENTES.XUNTA DE GALICIA,0,453831.75,453831.75,342833.37
45061,OUTRAS TRANSFERENCIAS CCAA. APORTACIONS VARIAS,200000,55044,255044,57660.52
45100,TRANSFERENCIAS CORRENTES.ORGANISMO AUTONOMO,0,0,0,135931.99
45300,TRANSFERENCIA CORRENT. S A XESTIÓN XACOBEO MANTEMENTO CAMIÑO,0,23658.6,23658.6,0
46100,TRANSFERENCIAS DEPUTACIÓN A CORUÑA.PERSOAL E FUNC BOMBEIROS,180000,0,180000,160480.15
46101,TRANSFERENCIAS DEPUTACIÓN CSC,180000,0,180000,0
46102,OUTRAS SUBVENCIONS  DA DEPUTACION,250000,23739,273739,236007.62
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,120000,0,120000,0
46104,TRANSFERENCIAS CORRENTES DEPUTACIÓN. PARQUES E XARDÍNS,42920,0,42920,0
46105,TRANSFERENCIAS CORRENTES DEPUTACIÓN.CASCO HISTORICO,0,80000,80000,75930.55
46201,TRANSF. CORRENTES CONCELLOS.XXIX EDICION PREMIO BLANCO AMOR,0,12960,12960,12960
46600,SUBVENCIONS CORRENTES.FEMP,5000,0,5000,0
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE DE SANTIAGOM OCHIR,110000,0,110000,110000
46701,SUBVENCIONS CORRENTES. CONSORCIO CSC.,35600,0,35600,30000
47001,TRANSFERENCIAS CORRENTES.APORTACIÓN DE EMPRESAS PRIVADAS,15000,0,15000,0
48001,TRANSFERENCIAS CORRENTES.FUNDACIÓN CAIXA GALICIA,5000,0,5000,0
49000,SUBVENCIONS CORRENTES DO EXTERIOR.,0,245556.34,245556.34,202214.25
49001,TRANSFERENCIAS DO EXTERIOR.,0,0,0,14039.6
49100,SUBVENCIÓNS CORRENTES DO EXTERIOR.FONDOS FEDER.URBAN.,1214609.76,0,1214609.76,8868.85
49101,SUBVENCIONS CORRENTES DO EXTERIOR.FONDO FEDER,0,74006.01,74006.01,0
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.URBAC II (PROX. SUITE,36559.82,3469.58,40029.4,0
49701,"OUTRAS TRANSFERENCIAS DA U. E.. PROXECTO """"URBANISMO EN REDE""""",14037,0,14037,0
49702,ACHEGA PROXECTO SUITE COMÚNS,0,31823.91,31823.91,31823.91
49703,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.PARKATLANTIC,0,0,0,0
52000,XUROS DE DEPOSITOS,85000,0,85000,50392.51
52001,XUROS DE COLOCACION DE EXCEDENTES DA TESOURERIA,0,0,0,6833.29
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,320000,0,320000,255478.39
55001,CANON CONTRATO CONCESIÓN SERVIZOS ORA E GRÚA,297000,0,297000,185371.73
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,15000,0,15000,0
55100,CONCESIÓNS CONTRAPRESTACIÓNS NON PERIÓDICAS,300000,0,300000,0
55400,APROVEITAMENTOS AGRICOLAS E FORESTAIS,1000,0,1000,11537.93
59900,OUTROS INGRESOS PATRIMONIAIS,20000,0,20000,0
60000,ENAXENACION DE INVERSIÓNS REAIS,0,0,0,0
60300,INGRESOS DERIVADOS DO PATRIMONIO PUBLICO DO SOLO,2079599.76,0,2079599.76,0
68000,REINTEGRO DE PRESUPOSTOS PECHADOS,0,764601.54,764601.54,764601.54
72000,TRANSFERENCIAS DE CAPITAL DO ESTADO,0,3814817.91,3814817.91,1221463.05
75000,SUB AFECTAS A LA AMORTIZACIÓN DE PRÉST Y OPERACIONES FRAS,0,1633586.56,1633586.56,108884
75050,TRANSFERENCIAS CAPITAL  SUB C.A.. REMODELACIÓN PRAZA ABASTOS,376815.29,0,376815.29,0
75063,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO.,89000,20065.44,109065.44,86901.45
75101,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO,0,468057.73,468057.73,269410.6
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL POS 2011,553964.33,555221.94,1109186.27,435690.52
76102,SUBVENCION DA DEPUTACION.DEPORTES.CESPED ARTIFICIAL SANLAZAR,113333.33,226666.67,340000,166158
76103,TRANSFERENCIA DIPUTACIÓN PROVINCIAL. SANEAMENTO EN ROCHIÑA,0,135441.12,135441.12,59932.69
76104,TRANSFERENCIAS DA DEPUTACIÓN PROVINCIAL,0,79130.02,79130.02,56240
76700,SUBV.CONSORCIO SELVA NEGRA,86199.99,2183990.68,2270190.67,1461008.2
76701,SUBV CONSORCIO. OBRA EXPLANADA SALGUEIRIÑO,0,146419.53,146419.53,0
79100,OUTRAS TRANSFERENCIAS DA UE,1848580.24,1360287.4,3208867.64,285465.72
83000,REINTEGRO DE ANTICIPOS O PERSOAL,110000,0,110000,80121.88
87000,PARA GASTOS GENERALES.,0,0,0,0
87010,REMANENTE DE TESOURERÍA PARA GASTOS CO FINANCIACIÓN AFECTADA,0,14718143.31,14718143.31,0
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,0,0,0,0
#,TOTALES,95227969.64,43393871.81,138621841.45,110829735.13
