#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos,
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,20771.62,0,20771.62,20580.58,
32904,MATRIMONIOS,10000,0,10000,10829,
33100,OCUPACION VIA PÚBLICA CON VADOS,250000,0,250000,196085.28,
33200,"OCUPACIÓN DO SOLO,SUBSOLO E SAÍNTES",1500000,0,1500000,1868984.81,
33500,OCUPACIÓN VÍA PÚBLICA CON MESAS E CADEIRAS,180000,0,180000,206178.97,
33600,VENDA AMBULANTE,49000,0,49000,50004.45,
33800,INGRESOS DE TELEFÓNICA,240000,0,240000,278187.98,
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,175000,0,175000,259452.11,
33901,O.TASAS UTILIZACIÓN PRIVATIVA DO DOMINIO PUBLICO.MARQUESINAS,227705.78,0,227705.78,0,
33903,OUTRAS TASAS.CONCESIÓNS DE USO PÚBLICO MUNICIPAL,190000,0,190000,109896.04,
34100,AXUDA A DOMICILIO,117000,0,117000,140236.44,
34300,INSTALACIONS DEPORTIVAS,1500,0,1500,14.7,
34400,INGRESOS DE TAQUILLAS,2899.95,0,2899.95,0,
34901,PUBLICACIÓNS E ACTIVIDADES,100000,0,100000,141390.35,
35100,CONTRIBUCIÓNS ESPECIAIS.ESTABLEC.OU AMPLIAC.DE SERVIZOS,263935.95,0,263935.95,184107.56,
38900,REINTEGRO DE PRESUPOSTOS PECHADOS,0,0,0,583652.77,
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,0,6000,10470.61,
39100,MULTAS POR INFRACCIONES URBANÍSTICAS.,0,0,0,0,
39110,MULTAS TRIBUTARIAS,120000,0,120000,261221.02,
39120,SANCIÓNS DE TRÁFICO,2000000,136360.34,2136360.34,2756269.49,
39121,MULTAS DA ORA,0,0,0,0,
39190,MULTAS MEDIO AMBIENTE (CONCEPTO XENÉRICO),105000,0,105000,127867.64,
39191,MULTAS COERCITIVAS,55000,0,55000,257506.88,
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,17000,0,17000,53489.63,
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA,15000,0,15000,30758.24,
39211,RECARGO DE PREMA,250000,0,250000,416872.56,
39300,XUROS DE MORA,350000,0,350000,451106.39,
39601,APORTACIONS PROXECTO COMPENSACION POLG.B SUNP6 SAN LAZARO,0,0,0,0,
39610,CUOTAS DE URBANIZACIÓN.,0,0,0,0.1,
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,0,0,0,0,
39900,OUTROS INGRESOS DERIVADOS DA XESTIÓN DE MULTAS,84000,0,84000,128131.38,
39901,INGRESOS POR DANOS BENS MUNICIPAIS.SINISTROS,60000,0,60000,39192.8,
39902,ACTUACIÓNS POR EXECUCIONS SUBSIDIARIAS. EXSUB,560074.84,0,560074.84,1555.1,
39903,OUTROS INGRESOS DIVERSOS,30000,9000,39000,65483.66,
39904,SUMINISTROS A EDIFICIOS PÚBLICOS,100000,0,100000,247033.88,
39905,COMPENSACION 10% APROVEITAMENTO URBANIS,0,0,0,0,
39906,OUTROS INGRESOS DE CONDENAS EN PROCEDEMENTOS XUDICIAIS,16000,0,16000,31334.53,
39910,COSTAS,5000,0,5000,118.1,
39991,OUTROS INGRESOS DIVERSOS,20000,0,20000,7458.36,
41000,De Organismos Autónomos de la Entidad Local,0,0,0,198755.08,
42001,DE LA ADMINISTRACIÓN GENERAL DEL ESTADO.,75000,0,75000,0,
42010,PARTICIPACIÓN TRIBUTOS.FONDO COMPLEMENTARIO DE FINANCIACIÓN.,16336943.72,0,16336943.72,17487524.29,
42021,COMPENSACIÓN IAE,2785000,0,2785000,2936520.22,
42091,SUBVENCIONS DO ESTADO PARA O PACTO LOCAL POLO EMPREGO (FSE),271872,11863.48,283735.48,0,
42092,SUBVENCIONS CORRENTES DO ESTADO. UMAD,40000,0,40000,39312,
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,405000,0,405000,368839.55,
45000,PARTICIPACIÓN TRIBUTOS CCAA.FONDO GALEGO COOPERACIÓN LOCAL,3656236.48,0,3656236.48,3570912.16,
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS.ESTATUTO CAPITALIDADE,2325000,0,2325000,2325000,
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,819006.58,0,819006.58,791606.31,
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,532531.71,0,532531.71,532531.71,
45022,TRANSFERENCIAS CCAA.UMAD PREVENCION,60000,0,60000,0,
45023,TRANSFERENCIAS  CCAA MULLER,90000,0,90000,15000,
45024,TRANSFERENCIAS DA CCAA EN MATERIA SOCIAL. EMIGRACION,15000,0,15000,0,
45030,TRANS CTES EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,167942.4,0,167942.4,94700,
45050,TRANS.CTES CUMPL CONV SUS CON CCAA MAT EMPREGO E DESEN LOCAL,1107845.28,48524.23,1156369.51,474074.3,
45061,OUTRAS TRANSFERENCIAS CCAA. APORTACIONS VARIAS,0,0,0,0,
45063,OUTRAS TRANSFERENCIAS CORRENTES. SERVIZO COMEDOR ESCOLAR,0,0,0,53400,
45100,TRANSFERENCIAS CORRENTES.ORGANISMO AUTONOMO,0,0,0,5135,
46100,TRANSFERENCIAS DEPUTACIÓN A CORUÑA.PERSOAL E FUNC BOMBEIROS,0,0,0,15485.24,
46101,TRANSFERENCIAS DEPUTACIÓN CSC,144000,0,144000,81152.58,
46102,OUTRAS SUBVENCIONS  DA DEPUTACION. EDUCACIÓN,231850,0,231850,34293.73,
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,140000,0,140000,140000,
46104,TRANSFERENCIAS DEPUTACIÓN MULLER E SS.SS.,70575,0,70575,73785.75,
46105,TRANSFERENCIAS  DEPUTACIÓN. MULLER,32000,0,32000,12698.54,
46106,OUTRAS TRANSFERENCIAS DEPUTACION,0,0,0,0,
46107,TRANSFERENCIAS CORRENTES DEPUTACION PARA PROMOCIÓN ECONÓMICA,0,18000,18000,0,
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE.FOGOS APOSTOLO,240000,0,240000,0,
49000,SUBVENCIONS CORRENTES DO EXTERIOR.,0,0,0,0,
49001,TRANSFERENCIAS DO EXTERIOR.,0,0,0,0,
49100,SUBVENCIÓNS CORRENTES DO EXTERIOR.FONDOS FEDER.URBAN,154990.32,0,154990.32,263304.95,
49101,SUBVENCIÓN CORRENTES DO EXTERIOR FEDER. EDUSI,428320,0,428320,0,
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.,11653.72,25020,36673.72,104443.83,
52000,XUROS DE DEPOSITOS,12000,0,12000,13270,
54100,"ARRENDAMENTO INMOBLE RUA DO MEDIO,65.EMUVISSA",15079.2,0,15079.2,14718.7,
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,300000,0,300000,329915.19,
55001,CANON CONTRATO CONCESIÓN SERVIZOS ORA E GRÚA,113600,0,113600,32413.32,
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,10000,0,10000,17840.41,
55100,CONCESIÓNS CONTRAPRESTACIÓNS NON PERIÓDICAS,0,0,0,0,
55400,PRODUCTO DE EXPLOTACIONES FORESTALES.,0,0,0,12161.25,
60300,INGRESOS DO PATRIMONIO PUBLICO DO SOLO. A MUIÑA V1.1,0,0,0,14844.12,
72000,TRANSFERENCIAS DE CAPITAL DO ESTADO.CONVENIO REHABILITACIÓN,825000,115795.81,940795.81,487554.44,
72001,TRANSFERENCIAS DO ESTADO,0,9432.7,9432.7,0,
72200,TRANSFERENCIAS DE CAPITAL. DE FUNDACIONES ESTATALES.,0,0,0,0,
72390,"TR CAPIT DE OTRAS SOC MERC EST, ENT PÚB EMP Y OTROS ORG PÚB",0,23255.79,23255.79,0,
75030,TRANS CAPIT EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,0,33871.29,33871.29,0,
75060,OTRAS SUBVENCIÓNS DA CCAA.CONVENIOS SUBSCRITOS,21500,0,21500,0,
75080,OTRAS TRANSFERENCIAS DE CAPITAL DE LA ADMÓN GNRAL DE LA C.A,0,4740.25,4740.25,4736.52,
75101,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO,0,62301.17,62301.17,42339.24,
75102,DE ORGANISMOS AUTÓNOMOS Y AGENCIAS DE LAS CC.AA.,0,10008.14,10008.14,0,
75300,"DE SOC MERC,ENT PÚB EMPR Y OTROS ORGA PÚB DEPEN DE CC.AA",0,0,0,0,
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL POS,556879.66,1283103.2,1839982.86,460952.47,
76101,SUBVENCIONS DA DEPUTACION PLAN ACCION SOCIAL (PAS),759381.36,0,759381.36,0,
76102,SUBVENCION DA DEPUTACION.DEPORTES.CESPED ARTIFICIAL SANLAZAR,0,0,0,110772,
76103,TRANSFERENCIA DIPUTACIÓN PROVINCIAL. SANEAMENTO EN ROCHIÑA,0,0,0,39955.13,
76104,TRANSFERENCIAS DA DEPUTACIÓN PROVINCIAL,0,0,0,16048,
76106,TRANSFERENCIAS CAPITAL DEPUTACIÓN PARA PROMOCIÓN ECONÓMICA,0,14490,14490,0,
76109,OUTRAS TRANSFERENCIAS DA DEPUTACIÓN PROVINCIAL,0,20479.62,20479.62,0,
76700,TRANSFERENCIAS CONSORCIO DA CIDADE DE SANTIAGO.,0,0,0,0,
77000,TRANSFERENCIAS DE CAPITAL. DE EMPRESAS PRIVADAS,0,14108.6,14108.6,14108.6,
78000,TRANSFERENCIAS DE CAPITAL DE FAMILIAS E ISFL,0,0,0,0,
79100,OUTRAS TRANSFERENCIAS UNION EUROPEA.URBANA NORTE 2014,0,0,0,1634967.4,
79101,OUTRAS TRANSFERENCIAS DA U.E. FEDER.EDUSI,1131680,0,1131680,0,
79400,DEL FONDO EUROPEO AGRÍCOLA DE DESARROLLO RURAL (FEADER).,0,58322.51,58322.51,0,
83000,REINTEGRO DE ANTICIPOS O PERSOAL,80000,0,80000,73572.91,
87000,PARA GASTOS GENERALES.,0,5477427.67,5477427.67,0,
87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,0,9440255.69,9440255.69,0,
91100,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,0,494403.29,494403.29,494403.29,
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,5320000,2036165.33,7356165.33,2054221.01,
#,TOTALES,99400897.44,19346929.11,118747826.55,101835538.42,
