#Eco.,Descripción,Prev Inic,Total Mod,Prev tot,DRN
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,20000,0,20000,16780.52
39211,RECARGO DE PREMA,225000,0,225000,507311.73
39300,XUROS DE MORA,350000,0,350000,509382.5
39610,CUOTAS DE URBANIZACIÓN.,0,0,0,2158.14
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,0,0,0,27096.43
39900,OUTROS INGRESOS DERIVADOS DA XESTIÓN DE MULTAS,40000,0,40000,93043.8
39901,INGRESOS POR DANOS BENS MUNICIPAIS.SINISTROS,50000,0,50000,60335.54
39902,EXECUCIONS SUBSIDIARIAS,608324.29,0,608324.29,356727.66
39903,OUTROS INGRESOS DIVERSOS,10000,28000,38000,54531.68
39904,SUMINISTROS A EDIFICIOS PÚBLICOS,100000,0,100000,51885.54
39905,COMPENSACION 10% APROVEITAMENTO URBANIS,0,0,0,0
39906,OUTROS INGRESOS DE CONDENAS EN PROCEDEMENTOS XUDICIAIS,0,0,0,19571.67
39908,OTROS INGRESOS DIVERSOS. OBRAS URBANIZACIÓN A CARGO DE PARTI,435416.98,0,435416.98,0
39910,COSTAS DA VIA DE CONSTRIXIMENTO,15000,0,15000,1230.99
39916,OTROS INGRESOS DIVERSOS.,0,0,0,-3818.48
39991,OUTROS INGRESOS DIVERSOS,20000,0,20000,22895.1
42001,DE LA ADMINISTRACIÓN GENERAL DEL ESTADO.,87500,0,87500,0
42010,FONDO COMPLEMENTARIO DE FINANCIACIÓN.,19806010,0,19806010,16641978.62
42020,COMPENSACIÓN POR BENEFICIOS FISCALES.,0,0,0,28934.42
42021,COMPENSACIÓN IAE,2500000,0,2500000,2847666.48
42090,OTRAS TRANSF CORRIENTES DE LA ADMÓN GENERAL DEL ESTADO.,0,0,0,250327.69
42091,SUBVENCIONS DO ESTADO PARA O PACTO LOCAL POLO EMPREGO (FSE),253194.14,43200,296394.14,0
42092,SUBVENCIONS CORRENTES DO ESTADO. UMAD,38571,0,38571,39701.24
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,350000,0,350000,405812.08
45000,PARTICIPACIÓN EN TRIBUTOS DE LA COMUNIDAD AUTÓNOMA.,3656236.48,0,3656236.48,3244698.93
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS.ESTATUTO CAPITALIDADE,2325000,0,2325000,2325000
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,614464.77,0,614464.77,771082.11
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,532531.71,0,532531.71,532532.21
45022,TRANSFERENCIAS CCAA.UMAD PREVENCION,60000,0,60000,0
45023,TRANSFERENCIAS  CCAA MULLER,52000,0,52000,56200
45024,TRANSFERENCIAS DA CCAA EN MATERIA SOCIAL. EMIGRACION,25000,0,25000,29900
45030,TRANS CTES EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,114542.4,0,114542.4,57271.2
45050,TRANSFERENCIAS CORRENTES.XUNTAS DE GALICIA,861502.46,400045.24,1261547.7,681082.26
45061,OUTRAS TRANSFERENCIAS CCAA. APORTACIONS VARIAS,0,0,0,5703.36
45063,OUTRAS TRANSFERENCIAS CORRENTES. SERVIZO COMEDOR ESCOLAR,0,0,0,31525.56
45100,TRANSFERENCIAS CORRENTES.ORGANISMO AUTONOMO,0,0,0,4674
45300,TRANSFERENCIA CORRENT. S A XESTIÓN XACOBEO MANTEMENTO CAMIÑO,0,0,0,0
46100,TRANSFERENCIAS DEPUTACIÓN A CORUÑA,0,0,0,134814.31
46101,TRANSFERENCIAS DEPUTACIÓN,144000,0,144000,144000
46102,OUTRAS SUBVENCIONS  DA DEPUTACION,90000,0,90000,13201.93
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,140000,0,140000,140000
46104,TRANSFERENCIAS CORRENTES DEPUTACIÓN.,68550,0,68550,69562.5
46105,TRANSFERENCIAS CORRENTES DEPUTACIÓN. MULLER,30525,0,30525,10246.36
46106,TRANSFERENCIAS DEPUTACION DTC,55391.29,0,55391.29,5391.3
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE DE SANTIAGO,240000,0,240000,217106.13
49000,SUBVENCIONS CORRENTES DO EXTERIOR.,0,2172844.2,2172844.2,307730.05
49001,TRANSFERENCIAS DO EXTERIOR.,0,0,0,0
49100,SUBVENCIÓNS CORRENTES DO EXTERIOR.FONDOS FEDER.,279222.37,0,279222.37,0
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.,28953.75,0,28953.75,3435
52000,XUROS DE DEPOSITOS,12000,0,12000,15332.09
52001,XUROS DE COLOCACION DE EXCEDENTES DA TESOURERIA,80000,0,80000,29457.54
54100,"ARRENDAMENTO INMOBLE RUA DO MEDIO,65.EMUVISSA",15079.2,0,15079.2,14940.05
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,320000,0,320000,315458.75
55001,CANON CONTRATO CONCESIÓN SERVIZOS ORA E GRÚA,402160,0,402160,426488.79
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,15000,0,15000,17402.92
55100,CONCESIÓNS CONTRAPRESTACIÓNS NON PERIÓDICAS,0,0,0,0
60000,ENAXENACION DE INVERSIÓNS REAIS,0,0,0,0
60302,PATRIMONIO PÚBLICO DEL SUELO.,1650229.09,0,1650229.09,0
72000,TRANSFERENCIAS DE CAPITAL DO ESTADO,314833.84,37823.51,352657.35,255684.68
72001,"TRANSFERENCIAS DO ESTADO. Mº AGRICULTURA, ALIMENT. E MEDIO A",0,9432.7,9432.7,0
72002,DE LA ADMINISTRACIÓN GENERAL DEL ESTADO.,61051,0,61051,0
72200,TRANSFERENCIAS DE CAPITAL. DE FUNDACIONES ESTATALES.,189082.53,0,189082.53,189082.53
72390,"TR CAPIT DE OTRAS SOC MERC EST, ENT PÚB EMP Y OTROS ORG PÚB",68000,6000,74000,34000
75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,0,86000,86000,0
75080,OTRAS TRANSFERENCIAS DE CAPITAL DE LA ADMÓN GNRAL DE LA C.A,0,9000,9000,1978.28
75101,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO,248157.85,0,248157.85,169716.3
75102,TRANSF. DE CAPITAL. AXENCIAS DA CC.AA. AGADER,0,10008.14,10008.14,0
75300,"DE SOC MERC,ENT PÚB EMPR Y OTROS ORGA PÚB DEPEN DE CC.AA",0,0,0,0
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL,500000,1561902.93,2061902.93,721178.91
76102,SUBVENCION DA DEPUTACION.DEPORTES.CESPED ARTIFICIAL SANLAZAR,0,0,0,0
76103,TRANSFERENCIA DIPUTACIÓN PROVINCIAL. SANEAMENTO EN ROCHIÑA,0,0,0,0
76104,TRANSFERENCIAS DA DEPUTACIÓN PROVINCIAL,0,0,0,11230.35
76700,TRANSFERENCIAS CONSORCIO DA CIDADE DE SANTIAGO.,0,0,0,0
77000,TRANSFERENCIAS DE CAPITAL. DE EMPRESAS PRIVADAS,3567080,0,3567080,0
79100,OUTRAS TRANSFERENCIAS UNION EUROPEA.URBANA NORTE 2014,376060.3,537320.32,913380.62,1910828.88
79101,OUTRAS TRANSFERENCIAS DA U.E. FEADER,1500000,0,1500000,0
79400,DEL FONDO EUROPEO AGRÍCOLA DE DESARROLLO RURAL (FEADER).,0,58322.51,58322.51,0
83000,REINTEGRO DE ANTICIPOS O PERSOAL,80000,0,80000,76182.99
87000,PARA GASTOS GENERALES.,0,1437878.37,1437878.37,0
87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,0,9847844.14,9847844.14,0
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,0,4442654.16,4442654.16,2976081.86
#,,102611065.82,20688276.22,123299342.04,98278746.64
