#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
39601,APORTACIONS PROXECTO COMPENSACION POLG.B SUNP6 SAN LAZARO,0,0,0,0
39610,COTAS DE URBANIZACION,0,0,0,0
39710,OUTROS INGRESOS POR APROVEITAMENTOS URBANISTICOS,84707.61,84707.61,169415.22,84707.61
39900,OUTROS INGRESOS DERVIADOS DA XESTIÓN DE MULTAS,90000,0,90000,35442.47
39901,INGRESOS POR DANOS BENS MUNICIPAIS. SINIESTROS,80000,0,80000,62858.88
39902,ACTUACIONS URBANISTICAS A CARGO DE PARTICULARES. EXSUB,60000,0,60000,130565.97
39903,OUTROS INGRESOS DIVERSOS,22000,18000,40000,31500
39904,SUBMINISTROS A EDIFICIOS PÚBLICOS,350000,0,350000,34505.8
39905,O.A.ACTUACIONS URBANISTICAS.DIF.ADX. E INDEMNIZACIÓNS,0,71999.98,71999.98,71999.98
39907,INCAUTACIÓN DE FIANZAS E PENALIDADES,0,0,0,0
39910,COSTAS,500,0,500,19517.1
39990,INGRESOS DERIVADOS DE OBRIGAS CONTRACTUAIS,0,0,0,0
39991,OUTROS INGRESOS DIVERSOS,5000,0,5000,10614.39
42001,DE LA ADMINISTRACIÓN GENERAL DEL ESTADO.,0,100000,100000,100000
42003,PLAN CONCERTADO PRA CENTROS SOCIAIS,0,0,0,35199
42010,PARTICIPACION TRIBUTOS.FONDO COMPLEMENTARIO DE FINANCIACIÓN.,19348280,0,19348280,16594524.01
42021,COMPENSACIÓN IAE,0,0,0,2786337.89
42090,TRANSFERENCIAS CORRENTES DA ADMINISTRACION XERAL DO ESTADO,81625,0,81625,200745
42091,SUBVENCIONS DO ESTADO PARA O PACTO LOCAL POLO EMPREGO (FSE),396698.99,152685.89,549384.88,0
42092,SUBVENCIONS CORRENTES DO ESTADO. FEAS,0,45000,45000,45000
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,500000,0,500000,344079.4
42103,SUBVENCIONS CORRENTES ESTADO.ORGANISMOS AUTONOMOS ADMINIS,15000,0,15000,4822
45000,PARTICIPACION TRIBUTOS CCAA.FONDO GALEGO COOPERACION LOCAL,3656236.48,0,3656236.48,3574178.86
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS. ESTATUTO CAPITALIDADE,2703000,0,2703000,3198550
45002,TRANS CTES  DE CONVENIOS SERVICIOS SOCIALES.ESCOLAS INFANTIS,0,0,0,0
45006,TRANSFERENCIAS CORRENTES.XUNTA DE GALICIA,0,0,0,0
45007,DE LA ADMINISTRACIÓN GENERAL DE LAS COMUNIDADES AUTÓNOMAS.,0,18829.66,18829.66,13705.84
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,308477.03,0,308477.03,524813.96
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,586404.79,0,586404.79,0
45022,TRANSFERENCIAS CCAA.UMAD PREVENCION,100568.37,0,100568.37,0
45023,TRANSFERENCIAS DA CCAA MATERIA SOCIAL.CONVENIO UMAD,0,0,0,0
45024,TRANSFERENCIAS DA CCAA EN MATERIA SOCIAL. EMIGRACION,25918.07,0,25918.07,0
45030,TRANS CTES EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,0,0,0,0
45050,TRANSFERENCIAS CORRENTES.XUNTA DE GALICIA,0,661426.58,661426.58,437826.44
45060,OTR TRANS CTES CUMPLIMENTO DE CONV SUSCRITOS C.A.,0,17370.6,17370.6,17370.6
45061,OUTRAS TRANSFERENCIAS CCAA. APORTACIONS VARIAS,43318.63,0,43318.63,68663.95
45062,DE LA ADMINISTRACIÓN GENERAL DE LAS COMUNIDADES AUTÓNOMAS.,0,40028.25,40028.25,21322.87
45063,OUTRAS TRANSFERENCIAS CORRENTES. SERVIZO COMEDOR ESCOLAR,0,19950,19950,0
45100,TRANSFERENCIAS CORRENTES.ORGANISMO AUTONOMO,0,0,0,25806.45
45300,TRANSFERENCIA CORRENT. S A XESTIÓN XACOBEO MANTEMENTO CAMIÑO,0,0,0,0
46100,TRANSFERENCIAS DEPUTACIÓN A CORUÑA.PERSOAL E FUNC BOMBEIROS,0,0,0,0
46101,TRANSFERENCIAS DEPUTACIÓN CSC,180000,0,180000,0
46102,OUTRAS SUBVENCIONS  DA DEPUTACION,210500,241820.48,452320.48,442050.04
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,140000,0,140000,140000
46104,TRANSFERENCIAS CORRENTES DEPUTACIÓN. PARQUES E XARDÍNS,0,0,0,0
46105,TRANSFERENCIAS CORRENTES DEPUTACIÓN.CASCO HISTORICO,0,0,0,0
46201,DE AYUNTAMIENTOS.,0,0,0,2880
46600,SUBVENCIONS CORRENTES.FEMP,0,0,0,0
46601,SUBVENCIÓNS CORRENTES AGRUPACIONS MUNICIPIO,0,0,0,0
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE.FOGOS APOSTOLO,210000,0,210000,169126.34
46701,SUBVENCIONS CORRENTES. CONSORCIO CSC.,0,0,0,0
46702,DE CONSORCIOS.,0,88000,88000,88000
47000,APORTACIONS DE EMPRESAS PRIVADAS,0,0,0,4500
47001,TRANSFERENCIAS CORRENTES.APORTACIÓN DE EMPRESAS PRIVADAS,0,0,0,0
48000,APORTACIONS DE INSTITUCIONS SEN FINS DE LUCRO,0,4000,4000,4000
48001,TRANSFERENCIAS CORRENTES.FAMILIAS E INST SEN FIN DE LUCRO,5000,0,5000,11135.74
49000,SUBVENCIONS CORRENTES DO EXTERIOR.,0,86377.11,86377.11,335000
49001,TRANSFERENCIAS DO EXTERIOR.,0,12343.63,12343.63,4374.08
49100,SUBVENCIÓNS CORRENTES DO EXTERIOR.FONDOS FEDER.URBAN.,547995.17,37751.2,585746.37,87748.73
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.,0,7200,7200,7200
49702,ACHEGA PROXECTO SUITE COMÚNS,0,0,0,0
52000,XUROS DE DEPOSITOS,75000,0,75000,32518.45
52001,XUROS DE COLOCACION DE EXCEDENTES DA TESOURERIA,0,0,0,182933.33
54100,"ARRENDAMENTO INMOBLE RUA DO MEDIO,65.EMUVISSA",15079.2,0,15079.2,13276.7
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,416000,0,416000,404751.42
55001,CANON CONTRATO CONCESIÓN SERVIZOS ORA E GRÚA,297000,0,297000,0
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,15000,0,15000,8995.55
55100,CONCESIÓNS CONTRAPRESTACIÓNS NON PERIÓDICAS,0,0,0,139396.33
55400,APROVEITAMENTOS AGRICOLAS E FORESTAIS,27000,0,27000,0
59900,OUTROS INGRESOS PATRIMONIAIS,0,0,0,0
60000,ENAXENACION DE INVERSIÓNS REAIS,0,0,0,0
60300,INGRESOS DERIVADOS DO PATRIMONIO PUBLICO DO SOLO,0,0,0,0
60302,PATRIMONIO PÚBLICO DEL SUELO.,116000,0,116000,0
68000,REINTEGRO DE PRESUPOSTOS PECHADOS,0,0,0,0
72000,TRANSFERENCIAS DE CAPITAL DO ESTADO.CONVENIO REHABILITACION,480845.6,588461.33,1069306.93,364775.19
72001,TRANSFERENCIAS DO ESTADO.PDR 2013 CAMPO FESTA NEMENZO,18325.94,1047000,1065325.94,1062646.03
73190,..,0,8000,8000,8000
75000,SUB AFECTAS A LA AMORTIZACIÓN DE PRÉST Y OPERACIONES FRAS,0,0,0,0
75040,SUBVENCION DA XUNTA PARA OBRA ACCESOS POLIGONO DO TAMBRE,0,0,0,0
75050,TRANSFERENCIAS CAPITAL  SUB C.A.. REMODELACIÓN PRAZA ABASTOS,402246.33,161441.27,563687.6,839535.54
75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,0,20000,20000,0
75063,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO.,0,0,0,0
75081,OUTRAS TRANSF.CAPITAL CCAA.PDR.2013 CAMPO FESTA NEMENZO,17983.72,0,17983.72,15353.86
75101,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO.CONVENIO REHABI,421798.76,397500,819298.76,768597.2
75102,TRANSFERENCIAS CAPITAL ORGANISMO AUTONOMO.SUB.EMUVISSA,270745.6,0,270745.6,0
75300,"DE SOC MERC,ENT PÚB EMPR E OUTROS ORGA PÚB DEPEN DE CC.AA",0,50000,50000,0
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL POS,554792.54,540743.44,1095535.98,182161.12
76102,SUBVENCION DA DEPUTACION.DEPORTES.CESPED ARTIFICIAL SANLAZAR,0,0,0,0
76103,TRANSFERENCIA DIPUTACIÓN PROVINCIAL. SANEAMENTO EN ROCHIÑA,0,0,0,0
76104,TRANSFERENCIAS DA DEPUTACIÓN PROVINCIAL,0,1025805.3,1025805.3,448711.07
76700,SUBV.CONSORCIO SELVA NEGRA,0,136987.05,136987.05,102987.05
76701,SUBV CONSORCIO. OBRA EXPLANADA SALGUEIRIÑO,0,0,0,0
78000,..,0,2000,2000,2000
79100,OUTRAS TRANSFERENCIAS DA UE,1987712.09,1120413.41,3108125.5,255874.66
79101,OTRAS TRANSFERENCIAS DA UE.PDR 2013.CAMPO FUTBOL NEMENZO,49245.61,0,49245.61,0
79400,DEL FONDO EUROPEO AGRÍCOLA DE DESARROLLO RURAL (FEADER).,0,0,0,42044.15
83000,REINTEGRO DE ANTICIPOS O PERSOAL,80000,0,80000,72680.39
87000,PARA GASTOS GENERALES.,0,1858932.11,1858932.11,0
87010,REMANENTE DE TESOURERÍA PARA GASTOS CO FINANCIACIÓN AFECTADA,0,13751588.61,13751588.61,0
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,0,0,0,0
#,TOTALES,96525739.35,22707346.13,119233085.48,96157188.75
