#Econ.,Denominación,Previsións Iniciais,Modificacións de previsións,Previsións Definitivas,Dereitos recoñecidos
34400,INGRESOS DE TAQUILLAS,2899.95,,2899.95,
34901,PUBLICACIÓNS E ACTIVIDADES,100000,,100000,98987.27
35100,CONTRIBUCIÓNS ESPECIAIS.ESTABLEC.OU AMPLIAC.DE SERVIZOS,263935.95,,263935.95,
38900,REINTEGRO DE PRESUPOSTOS PECHADOS,,,,553763.15
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,,6000,3795.85
39100,MULTAS POR INFRACCIONES URBANÍSTICAS.,,,,-939.76
39110,MULTAS TRIBUTARIAS,120000,,120000,196968.22
39120,SANCIÓNS DE TRÁFICO,2000000,,2000000,1719746.94
39121,MULTAS DA ORA,,,,
39190,MULTAS MEDIO AMBIENTE (CONCEPTO XENÉRICO),105000,,105000,97076.27
39191,MULTAS COERCITIVAS,55000,,55000,60670.98
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,17000,,17000,16827.86
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA,15000,,15000,19965.86
39211,RECARGO DE PREMA,250000,,250000,195763.49
39300,XUROS DE MORA,350000,,350000,322105.08
39601,APORTACIONS PROXECTO COMPENSACION POLG.B SUNP6 SAN LAZARO,,,,
39610,CUOTAS DE URBANIZACIÓN.,,,,
39900,OUTROS INGRESOS DERIVADOS DA XESTIÓN DE MULTAS,84000,,84000,79621.6
39901,INGRESOS POR DANOS BENS MUNICIPAIS.SINISTROS,60000,,60000,25415.75
39902,ACTUACIÓNS POR EXECUCIONS SUBSIDIARIAS. EXSUB,560074.84,,560074.84,2642.08
39903,OUTROS INGRESOS DIVERSOS,30000,,30000,19733.56
39904,SUMINISTROS A EDIFICIOS PÚBLICOS,100000,,100000,247033.88
39905,COMPENSACION 10% APROVEITAMENTO URBANIS,,,,
39906,OUTROS INGRESOS DE CONDENAS EN PROCEDEMENTOS XUDICIAIS,16000,,16000,21834.59
39910,COSTAS,5000,,5000,36.92
39991,OUTROS INGRESOS DIVERSOS,20000,,20000,4286.72
42001,DE LA ADMINISTRACIÓN GENERAL DEL ESTADO.,75000,,75000,
42010,PARTICIPACIÓN TRIBUTOS.FONDO COMPLEMENTARIO DE FINANCIACIÓN.,16336943.72,,16336943.72,17057192.64
42021,COMPENSACIÓN IAE,2785000,,2785000,2102053.25
42091,SUBVENCIONS DO ESTADO PARA O PACTO LOCAL POLO EMPREGO (FSE),271872,11863.48,283735.48,
42092,SUBVENCIONS CORRENTES DO ESTADO. UMAD,40000,,40000,-4517.79
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,405000,,405000,
45000,PARTICIPACIÓN TRIBUTOS CCAA.FONDO GALEGO COOPERACIÓN LOCAL,3656236.48,,3656236.48,2685994.27
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS.ESTATUTO CAPITALIDADE,2325000,,2325000,775000
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,819006.58,,819006.58,303405.36
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,532531.71,,532531.71,233047.93
45022,TRANSFERENCIAS CCAA.UMAD PREVENCION,60000,,60000,
45023,TRANSFERENCIAS  CCAA MULLER,90000,,90000,
45024,TRANSFERENCIAS DA CCAA EN MATERIA SOCIAL. EMIGRACION,15000,,15000,
45030,TRANS CTES EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,167942.4,,167942.4,94700
45050,TRANS.CTES CUMPL CONV SUS CON CCAA MAT EMPREGO E DESEN LOCAL,1107845.28,48524.23,1156369.51,
45061,OUTRAS TRANSFERENCIAS CCAA. APORTACIONS VARIAS,,,,
45063,OUTRAS TRANSFERENCIAS CORRENTES. SERVIZO COMEDOR ESCOLAR,,,,
45100,TRANSFERENCIAS CORRENTES.ORGANISMO AUTONOMO,,,,5135
46100,TRANSFERENCIAS DEPUTACIÓN A CORUÑA.PERSOAL E FUNC BOMBEIROS,,,,
46101,TRANSFERENCIAS DEPUTACIÓN CSC,144000,,144000,72000
46102,OUTRAS SUBVENCIONS  DA DEPUTACION. EDUCACIÓN,231850,,231850,5000
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,140000,,140000,70000
46104,TRANSFERENCIAS DEPUTACIÓN MULLER E SS.SS.,70575,,70575,23498.25
46105,TRANSFERENCIAS  DEPUTACIÓN. MULLER,32000,,32000,
46107,TRANSFERENCIAS CORRENTES DEPUTACION PARA PROMOCIÓN ECONÓMICA,,,,
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE.FOGOS APOSTOLO,240000,,240000,
49000,SUBVENCIONS CORRENTES DO EXTERIOR.,,,,
49001,TRANSFERENCIAS DO EXTERIOR.,,,,
49100,SUBVENCIÓNS CORRENTES DO EXTERIOR.FONDOS FEDER.URBAN,154990.32,,154990.32,
49101,SUBVENCIÓN CORRENTES DO EXTERIOR FEDER. EDUSI,428320,,428320,
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.,11653.72,,11653.72,
52000,XUROS DE DEPOSITOS,12000,,12000,9415.07
54100,"ARRENDAMENTO INMOBLE RUA DO MEDIO,65.EMUVISSA",15079.2,,15079.2,10948.9
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,300000,,300000,266269.91
55001,CANON CONTRATO CONCESIÓN SERVIZOS ORA E GRÚA,113600,,113600,32413.32
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,10000,,10000,13668.09
55100,CONCESIÓNS CONTRAPRESTACIÓNS NON PERIÓDICAS,,,,
55400,PRODUCTO DE EXPLOTACIONES FORESTALES.,,,,
60300,INGRESOS DO PATRIMONIO PUBLICO DO SOLO. A MUIÑA V1.1,,,,
72000,TRANSFERENCIAS DE CAPITAL DO ESTADO.CONVENIO REHABILITACIÓN,825000,115795.81,940795.81,352116.45
72001,TRANSFERENCIAS DO ESTADO,,9432.7,9432.7,-100083.24
72390,"TR CAPIT DE OTRAS SOC MERC EST, ENT PÚB EMP Y OTROS ORG PÚB",,,,
75030,TRANS CAPIT EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,,,,
75060,OTRAS SUBVENCIÓNS DA CCAA.CONVENIOS SUBSCRITOS,21500,,21500,
75080,OTRAS TRANSFERENCIAS DE CAPITAL DE LA ADMÓN GNRAL DE LA C.A,,4740.25,4740.25,
75101,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO,,62301.17,62301.17,
75102,DE ORGANISMOS AUTÓNOMOS Y AGENCIAS DE LAS CC.AA.,,10008.14,10008.14,
75300,"DE SOC MERC,ENT PÚB EMPR Y OTROS ORGA PÚB DEPEN DE CC.AA",,,,
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL POS,556879.66,1283103.2,1839982.86,29317.74
76101,SUBVENCIONS DA DEPUTACION PLAN ACCION SOCIAL (PAS),759381.36,,759381.36,
76102,SUBVENCION DA DEPUTACION.DEPORTES.CESPED ARTIFICIAL SANLAZAR,,,,
76103,TRANSFERENCIA DIPUTACIÓN PROVINCIAL. SANEAMENTO EN ROCHIÑA,,,,
76104,TRANSFERENCIAS DA DEPUTACIÓN PROVINCIAL,,,,
76106,TRANSFERENCIAS CAPITAL DEPUTACIÓN PARA PROMOCIÓN ECONÓMICA,,,,
76109,OUTRAS TRANSFERENCIAS DA DEPUTACIÓN PROVINCIAL,,,,
76700,TRANSFERENCIAS CONSORCIO DA CIDADE DE SANTIAGO.,,,,
77000,TRANSFERENCIAS DE CAPITAL. DE EMPRESAS PRIVADAS,,,,
78000,TRANSFERENCIAS DE CAPITAL DE FAMILIAS E ISFL,,,,
79100,OUTRAS TRANSFERENCIAS UNION EUROPEA.URBANA NORTE 2014,,,,
79101,OUTRAS TRANSFERENCIAS DA U.E. FEDER.EDUSI,1131680,,1131680,
79400,DEL FONDO EUROPEO AGRÍCOLA DE DESARROLLO RURAL (FEADER).,,58322.51,58322.51,
83000,REINTEGRO DE ANTICIPOS O PERSOAL,80000,,80000,56524.46
87000,PARA GASTOS GENERALES.,,4021445.84,4021445.84,
87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,,8763271.22,8763271.22,
91100,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,,,
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,5320000,1900353.28,7220353.28,1926647.14
