#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,200000,,,
33903,OUTRAS TASAS.CONCESIÓNS DE USO PÚBLICO MUNICIPAL,135000,,,
34100,AXUDA A DOMICILIO,277329,,,
34200,SERVIZO DE COMEDORES ESCOLARES,784142.08,,,
34201,SERVIZO DE ESCOLAS INFANTÍS DE XESTIÓN MUNICIPAL,222000,,,
34202,SERVIZO DA ESCOLA MUNICIPAL DE MÚSICA,204000,,,
34300,INSTALACIONS DEPORTIVAS,1500,,,
34901,PUBLICACIÓNS E ACTIVIDADES,135000,,,
35100,CONTRIBUCIÓNS ESPECIAIS.ESTABLEC.OU AMPLIAC.DE SERVIZOS,324152.38,,,
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,,,
39110,MULTAS TRIBUTARIAS,145000,,,
39120,SANCIÓNS DE TRÁFICO,2250000,,,
39190,MULTAS MEDIO AMBIENTE (CONCEPTO XENÉRICO),150000,,,
39191,MULTAS COERCITIVAS,70000,,,
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,17000,,,
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA,20000,,,
39211,RECARGO DE PREMA,300000,,,
39300,XUROS DE MORA,150000,,,
39900,OUTROS INGRESOS DERIVADOS DA XESTIÓN DE MULTAS,120000,,,
39901,INGRESOS POR DANOS BENS MUNICIPAIS.SINISTROS,60000,,,
39902,ACTUACIÓNS POR EXECUCIONS SUBSIDIARIAS. EXSUB,100000,,,
39903,OUTROS INGRESOS DIVERSOS,20000,,,
39904,SUMINISTROS A EDIFICIOS PÚBLICOS,80000,,,
39906,OUTROS INGRESOS DE CONDENAS EN PROCEDEMENTOS XUDICIAIS,20000,,,
39910,COSTAS,1000,,,
39991,OUTROS INGRESOS DIVERSOS,20000,,,
42010,PARTICIPACIÓN TRIBUTOS.FONDO COMPLEMENTARIO DE FINANCIACIÓN.,16378993.56,,,
42021,COMPENSACIÓN IAE,2797862.64,,,
42090,OTRAS TRANSF CORRIENTES DE LA ADMÓN GENERAL DEL ESTADO.,134936.78,,,
42091,SUBVENCIONS DO ESTADO PARA O PACTO LOCAL POLO EMPREGO (FSE),1426310.65,,,
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,369000,,,
45000,PARTICIPACIÓN TRIBUTOS CCAA.FONDO GALEGO COOPERACIÓN LOCAL,3683154.51,,,
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS.ESTATUTO CAPITALIDADE,2325000,,,
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,1535942.26,,,
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,532531.71,,,
45022,TRANSFERENCIAS CCAA.UMAD PREVENCION,85680,,,
45023,TRANSFERENCIAS  CCAA MULLER,45000,,,
45030,TRANS CTES EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,152960,,,
45050,TRANS.CTES CUMPL CONV SUS CON CCAA MAT EMPREGO E DESEN LOCAL,398200.86,,,
45100,TRANSFERENCIAS CORRENTES.ORGANISMO AUTONOMO,60500,,,
46100,TRANSFERENCIAS DEPUTACIÓN PROVINCIAL POS,169775.19,,,
46101,TRANSFERENCIAS DEPUTACIÓN CSC,144000,,,
46102,OUTRAS SUBVENCIONS  DA DEPUTACION. EDUCACIÓN,10000,,,
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,140000,,,
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE.FOGOS APOSTOLO,220000,,,
49100,SUBVENCIÓNS CORRENTES DO EXTERIOR.FONDOS FEDER.,48821.25,,,
49101,SUBVENCIÓN CORRENTES DO EXTERIOR FEDER. EDUSI,867064.28,,,
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.,68650,,,
52000,XUROS DE DEPOSITOS,5000,,,
54100,"ARRENDAMENTO INMOBLE RUA DO MEDIO,65.EMUVISSA",15079.2,,,
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,400000,,,
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,15000,,,
72000,TRANSFERENCIAS DE CAPITAL DO ESTADO,971250,,,
72001,TRANSFERENCIAS DO ESTADO,46371,,,
75060,OTRAS SUBVENCIÓNS DA CCAA.CONVENIOS SUBSCRITOS,77980.5,,,
75101,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO,277500,,,
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL POS,1298929.84,,,
79101,OUTRAS TRANSFERENCIAS DA U.E. FEDER.EDUSI,1601864.46,,,
82190,REINTEGRO DE PRÉST Y ANTICIPOS CONCEDIDOS A OUTROS SUBSECTOR,8306.76,,,
83000,REINTEGRO DE ANTICIPOS O PERSOAL,80000,,,
91100,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DO SECTOR PÚBLICO.,536000,,,
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FORA DO SECTOR PÚBLICO,3600000,,,
#,TOTALES,110212097.31,0,0,0
